time (UTC),pressureRow,Depth (m),Temperature (degC ITS-90),bin_centre,x,y
1965-09-30 00:00:00+00:00,60,3047.787246,1.58,3025,171.4929749541845,331.1428571428571
1965-09-30 00:00:00+00:00,71,3559.918686,1.52,3575,171.4929749541845,387.7142857142857
1965-09-30 00:00:00+00:00,81,4073.212834,1.5,4075,171.4929749541845,439.1428571428571
1965-09-30 00:00:00+00:00,85,4278.853705,1.53,4275,171.4929749541845,459.71428571428567
1965-10-31 00:00:00+00:00,0,15.43938852,10.7415,25,172.68871629287025,22.571428571428573
1965-10-31 00:00:00+00:00,1,72.81904381,6.71375,75,172.68871629287025,27.714285714285715
1965-10-31 00:00:00+00:00,2,121.914287,5.078958333,125,172.68871629287025,32.857142857142854
1965-10-31 00:00:00+00:00,3,171.0363198,4.370625,175,172.68871629287025,38
1965-10-31 00:00:00+00:00,4,221.1634856,3.82875,225,172.68871629287025,43.14285714285714
1965-10-31 00:00:00+00:00,5,275.5439286,3.62,275,172.68871629287025,48.28571428571429
1965-10-31 00:00:00+00:00,6,310.3906815,3.6275,325,172.68871629287025,53.42857142857143
1965-10-31 00:00:00+00:00,7,393.9461811,3.656,375,172.68871629287025,58.57142857142857
1965-10-31 00:00:00+00:00,8,410.5900923,3.536666667,425,172.68871629287025,63.714285714285715
1965-10-31 00:00:00+00:00,9,488.2517692,3.615,475,172.68871629287025,68.85714285714286
1965-10-31 00:00:00+00:00,10,505.9494544,3.585,525,172.68871629287025,74
1965-10-31 00:00:00+00:00,11,584.8277877,3.503333333,575,172.68871629287025,79.14285714285714
1965-10-31 00:00:00+00:00,12,606.0736763,3.39,625,172.68871629287025,84.28571428571428
1965-10-31 00:00:00+00:00,13,665.7632792,3.4,675,172.68871629287025,89.42857142857143
1965-10-31 00:00:00+00:00,15,783.1731725,3.236666667,775,172.68871629287025,99.71428571428571
1965-10-31 00:00:00+00:00,16,825.1973164,3.16,825,172.68871629287025,104.85714285714286
1965-10-31 00:00:00+00:00,19,982.3815049,2.936666667,975,172.68871629287025,120.28571428571429
1965-10-31 00:00:00+00:00,20,1019.715428,2.9,1025,172.68871629287025,125.42857142857143
1965-10-31 00:00:00+00:00,23,1180.763354,2.663333333,1175,172.68871629287025,140.85714285714286
1965-10-31 00:00:00+00:00,24,1213.908464,2.62,1225,172.68871629287025,146
1965-10-31 00:00:00+00:00,26,1303.198646,2.54,1325,172.68871629287025,156.2857142857143
1965-10-31 00:00:00+00:00,29,1473.261746,2.33,1475,172.68871629287025,171.71428571428572
1965-10-31 00:00:00+00:00,30,1509.845374,2.33,1525,172.68871629287025,176.85714285714286
1965-10-31 00:00:00+00:00,35,1770.579859,2.11,1775,172.68871629287025,202.57142857142856
1965-10-31 00:00:00+00:00,39,1979.169649,1.98,1975,172.68871629287025,223.14285714285714
